gene_id,gene_biotype,gene_name
ENSG00000223972.5,transcribed_unprocessed_pseudogene,DDX11L1
ENSG00000227232.5,unprocessed_pseudogene,WASH7P
ENSG00000278267.1,miRNA,MIR6859-1
ENSG00000243485.5,lincRNA,MIR1302-2HG
ENSG00000237613.2,lincRNA,FAM138A
ENSG00000268020.3,unprocessed_pseudogene,OR4G4P
ENSG00000240361.1,unprocessed_pseudogene,OR4G11P
ENSG00000186092.4,protein_coding,OR4F5
ENSG00000238009.6,lincRNA,RP11-34P13.7
ENSG00000233750.3,processed_pseudogene,CICP27
ENSG00000268903.1,processed_pseudogene,RP11-34P13.15
ENSG00000269981.1,processed_pseudogene,RP11-34P13.16
ENSG00000239906.1,antisense,RP11-34P13.14
ENSG00000241860.6,processed_transcript,RP11-34P13.13
ENSG00000222623.1,snRNA,RNU6-1100P
ENSG00000241599.1,lincRNA,RP11-34P13.9
ENSG00000279928.2,unprocessed_pseudogene,ABC7-43046700E7.1
ENSG00000279457.4,unprocessed_pseudogene,RP11-34P13.18
ENSG00000273874.1,miRNA,MIR6859-2
ENSG00000228463.9,lincRNA,AP006222.2
ENSG00000236679.2,processed_pseudogene,RPL23AP24
ENSG00000236743.1,lincRNA,RP5-857K21.15
ENSG00000236601.2,lincRNA,RP4-669L17.2
ENSG00000237094.11,lincRNA,RP4-669L17.10
ENSG00000269732.1,processed_pseudogene,WBP1LP7
ENSG00000278566.1,protein_coding,OR4F29
ENSG00000233653.3,processed_pseudogene,CICP7
ENSG00000250575.1,unprocessed_pseudogene,RP4-669L17.8
ENSG00000278757.1,snRNA,U6
ENSG00000230021.8,lincRNA,RP5-857K21.4
ENSG00000235146.2,lincRNA,RP5-857K21.2
ENSG00000225972.1,unprocessed_pseudogene,MTND1P23
ENSG00000225630.1,unprocessed_pseudogene,MTND2P28
ENSG00000237973.1,unprocessed_pseudogene,MTCO1P12
ENSG00000229344.1,unprocessed_pseudogene,MTCO2P12
ENSG00000240409.1,unprocessed_pseudogene,MTATP8P1
ENSG00000248527.1,unprocessed_pseudogene,MTATP6P1
ENSG00000198744.5,unprocessed_pseudogene,MTCO3P12
ENSG00000268663.1,processed_pseudogene,WBP1LP6
ENSG00000273547.1,protein_coding,OR4F16
ENSG00000283574.1,transcribed_processed_pseudogene,RP11-206L10.17
ENSG00000229376.3,processed_pseudogene,CICP3
ENSG00000228327.3,transcribed_unprocessed_pseudogene,RP11-206L10.2
ENSG00000223181.1,snRNA,RNU6-1199P
ENSG00000229905.1,antisense,RP11-206L10.4
ENSG00000237491.8,lincRNA,RP11-206L10.9
ENSG00000230092.7,transcribed_unprocessed_pseudogene,RP11-206L10.8
ENSG00000177757.2,lincRNA,FAM87B
ENSG00000228794.8,processed_transcript,LINC01128
ENSG00000225880.5,lincRNA,LINC00115
ENSG00000230368.2,lincRNA,FAM41C
ENSG00000234711.1,unprocessed_pseudogene,TUBB8P11
ENSG00000283040.1,transcribed_unprocessed_pseudogene,FAM166AP3
ENSG00000272438.1,lincRNA,RP11-54O7.16
ENSG00000230699.2,lincRNA,RP11-54O7.1
ENSG00000241180.1,lincRNA,RP11-54O7.2
ENSG00000223764.2,lincRNA,RP11-54O7.3
ENSG00000187634.11,protein_coding,SAMD11
ENSG00000188976.10,protein_coding,NOC2L
ENSG00000187961.13,protein_coding,KLHL17
ENSG00000187583.10,protein_coding,PLEKHN1
ENSG00000187642.9,protein_coding,PERM1
ENSG00000272512.1,lincRNA,RP11-54O7.17
ENSG00000188290.10,protein_coding,HES4
ENSG00000187608.8,protein_coding,ISG15
ENSG00000231702.2,processed_pseudogene,RP11-54O7.10
ENSG00000224969.1,antisense,RP11-54O7.11
ENSG00000188157.14,protein_coding,AGRN
ENSG00000217801.9,transcribed_unprocessed_pseudogene,RP11-465B22.3
ENSG00000273443.1,lincRNA,RP11-54O7.18
ENSG00000237330.2,protein_coding,RNF223
ENSG00000131591.17,protein_coding,C1orf159
ENSG00000223823.1,lincRNA,LINC01342
ENSG00000207730.3,miRNA,MIR200B
ENSG00000207607.3,miRNA,MIR200A
ENSG00000198976.1,miRNA,MIR429
ENSG00000272141.1,lincRNA,RP11-465B22.8
ENSG00000205231.1,antisense,TTLL10-AS1
ENSG00000162571.13,protein_coding,TTLL10
ENSG00000186891.13,protein_coding,TNFRSF18
ENSG00000186827.10,protein_coding,TNFRSF4
ENSG00000078808.16,protein_coding,SDF4
ENSG00000176022.4,protein_coding,B3GALT6
ENSG00000184163.3,protein_coding,C1QTNF12
ENSG00000260179.1,lincRNA,RP5-902P8.12
ENSG00000160087.20,protein_coding,UBE2J2
ENSG00000230415.1,lincRNA,LINC01786
ENSG00000162572.20,protein_coding,SCNN1D
ENSG00000131584.18,protein_coding,ACAP3
ENSG00000278073.1,miRNA,MIR6726
ENSG00000169972.11,protein_coding,PUSL1
ENSG00000127054.20,protein_coding,INTS11
ENSG00000283712.1,miRNA,MIR6727
ENSG00000240731.1,sense_intronic,RP5-890O3.9
ENSG00000224051.6,protein_coding,CPTP
ENSG00000169962.4,protein_coding,TAS1R3
ENSG00000107404.19,protein_coding,DVL1
ENSG00000284372.1,miRNA,MIR6808
ENSG00000162576.16,protein_coding,MXRA8
ENSG00000175756.13,protein_coding,AURKAIP1
ENSG00000223663.2,processed_pseudogene,NDUFB4P8
ENSG00000221978.11,protein_coding,CCNL2
ENSG00000224870.6,processed_transcript,RP4-758J18.2
ENSG00000242485.5,protein_coding,MRPL20
ENSG00000272455.1,lincRNA,RP4-758J18.13
ENSG00000235098.8,protein_coding,ANKRD65
ENSG00000225905.1,antisense,RP4-758J18.7
ENSG00000205116.3,protein_coding,TMEM88B
ENSG00000225285.1,lincRNA,LINC01770
ENSG00000179403.11,protein_coding,VWA1
ENSG00000215915.9,protein_coding,ATAD3C
ENSG00000160072.19,protein_coding,ATAD3B
ENSG00000197785.13,protein_coding,ATAD3A
ENSG00000205090.8,protein_coding,TMEM240
ENSG00000160075.11,protein_coding,SSU72
ENSG00000215014.4,lincRNA,RP5-832C2.5
ENSG00000274481.1,processed_pseudogene,RP11-345P4.11
ENSG00000228594.3,protein_coding,FNDC10
ENSG00000272106.1,antisense,RP11-345P4.9
ENSG00000197530.12,protein_coding,MIB2
ENSG00000189409.13,protein_coding,MMP23B
ENSG00000248333.8,protein_coding,CDK11B
ENSG00000272004.1,antisense,RP11-345P4.10
ENSG00000189339.11,protein_coding,SLC35E2B
ENSG00000269737.2,transcribed_processed_pseudogene,RP11-345P4.6
ENSG00000215914.4,unprocessed_pseudogene,MMP23A
ENSG00000008128.22,protein_coding,CDK11A
ENSG00000227775.3,transcribed_processed_pseudogene,RP1-283E3.4
ENSG00000215790.6,protein_coding,SLC35E2
ENSG00000008130.15,protein_coding,NADK
ENSG00000078369.17,protein_coding,GNB1
ENSG00000231050.1,antisense,RP1-140A9.1
ENSG00000169885.9,protein_coding,CALML6
ENSG00000178821.12,protein_coding,TMEM52
ENSG00000142609.17,protein_coding,CFAP74
ENSG00000233542.1,antisense,RP11-547D24.1
ENSG00000187730.8,protein_coding,GABRD
ENSG00000226969.1,antisense,RP11-547D24.3
ENSG00000067606.16,protein_coding,PRKCZ
ENSG00000271806.1,antisense,RP5-892K4.1
ENSG00000182873.5,antisense,PRKCZ-AS1
ENSG00000162585.16,protein_coding,FAAP20
ENSG00000234396.3,lincRNA,RP11-181G12.4
ENSG00000157933.9,protein_coding,SKI
ENSG00000116151.13,protein_coding,MORN1
ENSG00000272161.1,sense_intronic,RP4-713A8.1
ENSG00000269896.2,transcribed_processed_pseudogene,RP4-740C4.5
ENSG00000272420.1,sense_intronic,RP4-740C4.7
ENSG00000157916.19,protein_coding,RER1
ENSG00000157911.9,protein_coding,PEX10
ENSG00000149527.17,protein_coding,PLCH2
ENSG00000224387.1,antisense,RP3-395M20.2
ENSG00000229393.1,antisense,RP3-395M20.3
ENSG00000157881.13,protein_coding,PANK4
ENSG00000197921.5,protein_coding,HES5
ENSG00000272449.1,lincRNA,RP3-395M20.12
ENSG00000238164.6,antisense,RP3-395M20.8
ENSG00000157873.17,protein_coding,TNFRSF14
ENSG00000225931.3,TEC,RP3-395M20.7
ENSG00000228037.1,lincRNA,RP3-395M20.9
ENSG00000157870.14,protein_coding,FAM213B
ENSG00000142606.15,protein_coding,MMEL1
ENSG00000237058.1,antisense,RP13-436F16.1
ENSG00000215912.12,protein_coding,TTC34
ENSG00000283259.1,antisense,ABC14-1188822O7.1
ENSG00000233234.1,lincRNA,RP11-740P5.2
ENSG00000231630.1,lincRNA,RP11-740P5.3
ENSG00000169717.6,protein_coding,ACTRT2
ENSG00000177133.10,antisense,LINC00982
ENSG00000142611.16,protein_coding,PRDM16
ENSG00000283572.1,miRNA,MIR4251
ENSG00000226286.1,antisense,RP1-163G9.2
ENSG00000279839.1,TEC,RP11-193J6.1
ENSG00000272235.1,lincRNA,RP11-22L13.1
ENSG00000130762.14,protein_coding,ARHGEF16
ENSG00000272088.1,lincRNA,RP11-168F9.2
ENSG00000162591.15,protein_coding,MEGF6
ENSG00000207776.1,miRNA,MIR551A
ENSG00000238260.1,antisense,RP11-46F15.2
