case_id,slide_id,label,tissue,tissue_idx
GTEX-1JKYR,GTEX-1JKYR-0525,gen_exp,TibialArtery,34.0
GTEX-11GS4,GTEX-11GS4-0525,gen_exp,Heart,13.0
GTEX-XQ3S,GTEX-XQ3S-0525,gen_exp,AtrialAppendage,3.0
GTEX-13PL6,GTEX-13PL6-0325,gen_exp,SkeletalMuscle,27.0
GTEX-Q2AG,GTEX-Q2AG-1025,gen_exp,Lung,18.0
GTEX-14E7W,GTEX-14E7W-1925,gen_exp,GastroesophagealJunction,12.0
GTEX-13O61,GTEX-13O61-1725,gen_exp,Prostate,25.0
GTEX-1JN6P,GTEX-1JN6P-0825,gen_exp,AtrialAppendage,3.0
GTEX-14XAO,GTEX-14XAO-2325,gen_exp,Skin,28.0
GTEX-1HSMQ,GTEX-1HSMQ-1625,gen_exp,TibialArtery,34.0
GTEX-15CHQ,GTEX-15CHQ-1325,gen_exp,AtrialAppendage,3.0
GTEX-YEC3,GTEX-YEC3-0325,gen_exp,CoronaryArtery,7.0
GTEX-1LVAN,GTEX-1LVAN-2425,gen_exp,Stomach,30.0
GTEX-ZVT4,GTEX-ZVT4-0125,gen_exp,Skin,28.0
GTEX-1399S,GTEX-1399S-0925,gen_exp,CoronaryArtery,7.0
GTEX-18A66,GTEX-18A66-2525,gen_exp,Ileum,14.0
GTEX-13OVK,GTEX-13OVK-1925,gen_exp,SkeletalMuscle,27.0
GTEX-OIZG,GTEX-OIZG-1125,gen_exp,Heart,13.0
GTEX-WHSB,GTEX-WHSB-1825,gen_exp,SkeletalMuscle,27.0
GTEX-147GR,GTEX-147GR-1225,gen_exp,Lung,18.0
GTEX-SE5C,GTEX-SE5C-2025,gen_exp,TibialArtery,34.0
GTEX-ZUA1,GTEX-ZUA1-0825,gen_exp,Heart,13.0
GTEX-ZF2S,GTEX-ZF2S-2025,gen_exp,MammaryTissueBreast,19.0
GTEX-1I4MK,GTEX-1I4MK-2225,gen_exp,Skin,28.0
GTEX-1JJ6O,GTEX-1JJ6O-0525,gen_exp,Testis,32.0
GTEX-1C475,GTEX-1C475-0225,gen_exp,ThyroidGland,33.0
GTEX-1A32A,GTEX-1A32A-0925,gen_exp,Omentum,21.0
GTEX-WH7G,GTEX-WH7G-2125,gen_exp,MinorSalivaryGlands,20.0
GTEX-11UD2,GTEX-11UD2-0425,gen_exp,TibialNerve,35.0
GTEX-1LBAC,GTEX-1LBAC-0125,gen_exp,Skin,28.0
GTEX-1NHNU,GTEX-1NHNU-1725,gen_exp,GastroesophagealJunction,12.0
GTEX-ZYFC,GTEX-ZYFC-0625,gen_exp,TibialNerve,35.0
GTEX-1IL2U,GTEX-1IL2U-0625,gen_exp,TibialArtery,34.0
GTEX-X4XX,GTEX-X4XX-1025,gen_exp,Lung,18.0
GTEX-UPK5,GTEX-UPK5-0325,gen_exp,Heart,13.0
GTEX-X261,GTEX-X261-3125,gen_exp,BrainCerebellum,4.0
GTEX-1CB4G,GTEX-1CB4G-1325,gen_exp,EsophagusMucosa,10.0
GTEX-YFCO,GTEX-YFCO-0125,gen_exp,AdrenalGlands,1.0
GTEX-144GO,GTEX-144GO-0125,gen_exp,ThyroidGland,33.0
GTEX-OHPM,GTEX-OHPM-0225,gen_exp,AdiposeTissue,0.0
GTEX-1IGQW,GTEX-1IGQW-0525,gen_exp,SkeletalMuscle,27.0
GTEX-1LB8K,GTEX-1LB8K-0325,gen_exp,AdiposeTissue,0.0
GTEX-UJHI,GTEX-UJHI-1925,gen_exp,TibialArtery,34.0
GTEX-14ASI,GTEX-14ASI-0325,gen_exp,TibialNerve,35.0
GTEX-1EKGG,GTEX-1EKGG-2225,gen_exp,KidneyCortex,15.0
GTEX-1314G,GTEX-1314G-1925,gen_exp,TibialArtery,34.0
GTEX-WYJK,GTEX-WYJK-1925,gen_exp,EsophagusMucosa,10.0
GTEX-XPT6,GTEX-XPT6-2025,gen_exp,SkeletalMuscle,27.0
GTEX-11DXX,GTEX-11DXX-0725,gen_exp,Spleen,29.0
GTEX-1KD5A,GTEX-1KD5A-0925,gen_exp,AtrialAppendage,3.0
GTEX-XPVG,GTEX-XPVG-2825,gen_exp,TibialNerve,35.0
GTEX-1EN7A,GTEX-1EN7A-0725,gen_exp,Heart,13.0
GTEX-PWN1,GTEX-PWN1-2625,gen_exp,ThyroidGland,33.0
GTEX-1AX9K,GTEX-1AX9K-0425,gen_exp,AtrialAppendage,3.0
GTEX-1GF9U,GTEX-1GF9U-2025,gen_exp,SuprapubicSkin,31.0
GTEX-P44H,GTEX-P44H-1025,gen_exp,Aorta,2.0
GTEX-1JMQK,GTEX-1JMQK-1325,gen_exp,Omentum,21.0
GTEX-1HSMO,GTEX-1HSMO-0625,gen_exp,SuprapubicSkin,31.0
GTEX-1KD4Q,GTEX-1KD4Q-0425,gen_exp,TibialNerve,35.0
GTEX-WEY5,GTEX-WEY5-2025,gen_exp,SkeletalMuscle,27.0
GTEX-14C5O,GTEX-14C5O-3125,gen_exp,PituitaryGland,24.0
GTEX-PSDG,GTEX-PSDG-1625,gen_exp,MammaryTissueBreast,19.0
GTEX-V1D1,GTEX-V1D1-0225,gen_exp,AdrenalGlands,1.0
GTEX-QDVJ,GTEX-QDVJ-1825,gen_exp,AdiposeTissue,0.0
GTEX-11DXX,GTEX-11DXX-1625,gen_exp,Ileum,14.0
GTEX-YFC4,GTEX-YFC4-1226,gen_exp,EsophagusMucosa,10.0
GTEX-ZE9C,GTEX-ZE9C-2325,gen_exp,SkeletalMuscle,27.0
GTEX-ZUA1,GTEX-ZUA1-1925,gen_exp,AdrenalGlands,1.0
GTEX-1445S,GTEX-1445S-1225,gen_exp,AtrialAppendage,3.0
GTEX-1QP67,GTEX-1QP67-0725,gen_exp,EsophagusMucosa,10.0
GTEX-1NV5F,GTEX-1NV5F-0225,gen_exp,Skin,28.0
GTEX-16MTA,GTEX-16MTA-2125,gen_exp,AdiposeTissue,0.0
GTEX-1R7EV,GTEX-1R7EV-2025,gen_exp,SkeletalMuscle,27.0
GTEX-Q2AH,GTEX-Q2AH-0925,gen_exp,Pancreas,23.0
GTEX-139UW,GTEX-139UW-2825,gen_exp,Skin,28.0
GTEX-1HCVE,GTEX-1HCVE-1225,gen_exp,EsophagusMucosa,10.0
GTEX-1B8SF,GTEX-1B8SF-1425,gen_exp,Skin,28.0
GTEX-16XZZ,GTEX-16XZZ-2725,gen_exp,SigmoidColon,26.0
GTEX-QVUS,GTEX-QVUS-0425,gen_exp,Aorta,2.0
GTEX-13OW8,GTEX-13OW8-2725,gen_exp,SigmoidColon,26.0
GTEX-1JKYN,GTEX-1JKYN-2025,gen_exp,TibialArtery,34.0
GTEX-P4QS,GTEX-P4QS-1025,gen_exp,Pancreas,23.0
GTEX-ZDYS,GTEX-ZDYS-0925,gen_exp,EsophagusMuscularis,11.0
GTEX-13D11,GTEX-13D11-0525,gen_exp,Omentum,21.0
GTEX-ZDTS,GTEX-ZDTS-1225,gen_exp,AtrialAppendage,3.0
GTEX-111CU,GTEX-111CU-1025,gen_exp,Omentum,21.0
GTEX-RWSA,GTEX-RWSA-2425,gen_exp,Testis,32.0
GTEX-WFG8,GTEX-WFG8-0325,gen_exp,Pancreas,23.0
GTEX-13OW5,GTEX-13OW5-0325,gen_exp,SkeletalMuscle,27.0
GTEX-ZAJG,GTEX-ZAJG-2825,gen_exp,Uterus,37.0
GTEX-ZYW4,GTEX-ZYW4-0225,gen_exp,AdiposeTissue,0.0
GTEX-18A67,GTEX-18A67-1025,gen_exp,AtrialAppendage,3.0
GTEX-1R9PM,GTEX-1R9PM-0425,gen_exp,Lung,18.0
GTEX-1JN1M,GTEX-1JN1M-2325,gen_exp,Vagina,38.0
GTEX-14H4A,GTEX-14H4A-0425,gen_exp,AtrialAppendage,3.0
GTEX-1445S,GTEX-1445S-1125,gen_exp,CoronaryArtery,7.0
GTEX-1EU9M,GTEX-1EU9M-0425,gen_exp,TibialArtery,34.0
GTEX-13NZ9,GTEX-13NZ9-0825,gen_exp,TibialArtery,34.0
GTEX-1OJC4,GTEX-1OJC4-3025,gen_exp,PituitaryGland,24.0
GTEX-1F48J,GTEX-1F48J-1825,gen_exp,Omentum,21.0
GTEX-QDVN,GTEX-QDVN-0325,gen_exp,Heart,13.0
GTEX-VUSG,GTEX-VUSG-1725,gen_exp,Ileum,14.0
GTEX-11ZUS,GTEX-11ZUS-1225,gen_exp,TibialNerve,35.0
GTEX-1LSNM,GTEX-1LSNM-0725,gen_exp,Pancreas,23.0
GTEX-13PL7,GTEX-13PL7-1225,gen_exp,Omentum,21.0
GTEX-1NUQO,GTEX-1NUQO-0325,gen_exp,TibialArtery,34.0
GTEX-1MCC2,GTEX-1MCC2-1825,gen_exp,SuprapubicSkin,31.0
GTEX-OXRL,GTEX-OXRL-1625,gen_exp,SkeletalMuscle,27.0
GTEX-QXCU,GTEX-QXCU-0225,gen_exp,TibialArtery,34.0
GTEX-1F75W,GTEX-1F75W-0325,gen_exp,SkeletalMuscle,27.0
GTEX-13NZA,GTEX-13NZA-0325,gen_exp,TibialNerve,35.0
GTEX-17HG3,GTEX-17HG3-2325,gen_exp,AdiposeTissue,0.0
GTEX-1HB9E,GTEX-1HB9E-1525,gen_exp,EsophagusMucosa,10.0
GTEX-1KAFJ,GTEX-1KAFJ-0625,gen_exp,EsophagusMucosa,10.0
GTEX-WHWD,GTEX-WHWD-1525,gen_exp,SigmoidColon,26.0
GTEX-Y3IK,GTEX-Y3IK-0425,gen_exp,Pancreas,23.0
GTEX-Y8LW,GTEX-Y8LW-0525,gen_exp,GastroesophagealJunction,12.0
GTEX-WHPG,GTEX-WHPG-0625,gen_exp,Omentum,21.0
GTEX-1HBPI,GTEX-1HBPI-0125,gen_exp,Aorta,2.0
GTEX-1H3O1,GTEX-1H3O1-1125,gen_exp,Spleen,29.0
GTEX-WFG8,GTEX-WFG8-2025,gen_exp,MammaryTissueBreast,19.0
GTEX-1CAMQ,GTEX-1CAMQ-2625,gen_exp,GastroesophagealJunction,12.0
GTEX-XGQ4,GTEX-XGQ4-0525,gen_exp,AtrialAppendage,3.0
GTEX-ZPU1,GTEX-ZPU1-0725,gen_exp,AtrialAppendage,3.0
GTEX-1E2YA,GTEX-1E2YA-1925,gen_exp,GastroesophagealJunction,12.0
GTEX-QV31,GTEX-QV31-0625,gen_exp,Stomach,30.0
GTEX-144GM,GTEX-144GM-1525,gen_exp,EsophagusMuscularis,11.0
GTEX-1B933,GTEX-1B933-0125,gen_exp,Skin,28.0
GTEX-S95S,GTEX-S95S-1625,gen_exp,TibialArtery,34.0
GTEX-ZDXO,GTEX-ZDXO-0725,gen_exp,Heart,13.0
GTEX-U3ZN,GTEX-U3ZN-0325,gen_exp,ThyroidGland,33.0
GTEX-ZPU1,GTEX-ZPU1-0625,gen_exp,Heart,13.0
GTEX-1211K,GTEX-1211K-2425,gen_exp,TibialArtery,34.0
GTEX-1R46S,GTEX-1R46S-2025,gen_exp,EsophagusMuscularis,11.0
GTEX-169BO,GTEX-169BO-0225,gen_exp,Lung,18.0
GTEX-12WSG,GTEX-12WSG-0425,gen_exp,Omentum,21.0
GTEX-1399T,GTEX-1399T-0825,gen_exp,Liver,17.0
GTEX-1A3MX,GTEX-1A3MX-0125,gen_exp,Skin,28.0
GTEX-1C6VR,GTEX-1C6VR-2725,gen_exp,TibialNerve,35.0
GTEX-13SLX,GTEX-13SLX-1025,gen_exp,Heart,13.0
GTEX-ZAB4,GTEX-ZAB4-1125,gen_exp,EsophagusMucosa,10.0
GTEX-111FC,GTEX-111FC-1925,gen_exp,Testis,32.0
GTEX-13N11,GTEX-13N11-2725,gen_exp,SkeletalMuscle,27.0
GTEX-1122O,GTEX-1122O-1425,gen_exp,SigmoidColon,26.0
GTEX-UJHI,GTEX-UJHI-0725,gen_exp,Lung,18.0
GTEX-14BIM,GTEX-14BIM-2725,gen_exp,AtrialAppendage,3.0
GTEX-16BQI,GTEX-16BQI-0925,gen_exp,Heart,13.0
GTEX-1H1DF,GTEX-1H1DF-1425,gen_exp,Omentum,21.0
GTEX-WHSE,GTEX-WHSE-0525,gen_exp,SkeletalMuscle,27.0
GTEX-1F7RK,GTEX-1F7RK-1525,gen_exp,EsophagusMucosa,10.0
GTEX-NPJ8,GTEX-NPJ8-2225,gen_exp,KidneyCortex,15.0
GTEX-15RIG,GTEX-15RIG-0525,gen_exp,TibialNerve,35.0
GTEX-1HSKV,GTEX-1HSKV-1825,gen_exp,Testis,32.0
GTEX-11LCK,GTEX-11LCK-2025,gen_exp,Colon,6.0
GTEX-1I1GQ,GTEX-1I1GQ-0525,gen_exp,TibialArtery,34.0
GTEX-16XZZ,GTEX-16XZZ-1025,gen_exp,AtrialAppendage,3.0
GTEX-1IKJJ,GTEX-1IKJJ-1025,gen_exp,ThyroidGland,33.0
GTEX-17F97,GTEX-17F97-0325,gen_exp,Skin,28.0
GTEX-1E2YA,GTEX-1E2YA-2125,gen_exp,SuprapubicSkin,31.0
GTEX-11GS4,GTEX-11GS4-3025,gen_exp,PituitaryGland,24.0
GTEX-11GSO,GTEX-11GSO-0625,gen_exp,ThyroidGland,33.0
GTEX-13O61,GTEX-13O61-2125,gen_exp,Pancreas,23.0
GTEX-12WSK,GTEX-12WSK-1025,gen_exp,Omentum,21.0
GTEX-PWCY,GTEX-PWCY-0325,gen_exp,Aorta,2.0
GTEX-ZE9C,GTEX-ZE9C-2525,gen_exp,SuprapubicSkin,31.0
GTEX-12WSH,GTEX-12WSH-2525,gen_exp,SkeletalMuscle,27.0
GTEX-X5EB,GTEX-X5EB-0725,gen_exp,ThyroidGland,33.0
GTEX-1GZ4I,GTEX-1GZ4I-2725,gen_exp,Testis,32.0
