,train,val,test
0,GTEX-1NV8Z-1525,GTEX-QMRM-0525,GTEX-1J8Q2-1225
1,GTEX-13FTZ-0225,GTEX-1399T-0425,GTEX-13OW5-1125
2,GTEX-14E6D-0925,GTEX-O5YW-0325,GTEX-WK11-0825
3,GTEX-R45C-0925,GTEX-13NZB-0225,GTEX-1C2JI-0525
4,GTEX-ZG7Y-0925,GTEX-1N2EF-2825,GTEX-WHPG-0825
5,GTEX-13X6I-1425,GTEX-RWSA-0625,GTEX-OOBJ-0325
6,GTEX-UPK5-0325,GTEX-1GMRU-1525,GTEX-17KNJ-0825
7,GTEX-14PJ2-1025,GTEX-13O1R-1225,GTEX-1EU9M-1825
8,GTEX-1OKEX-0725,GTEX-1ICLY-1325,GTEX-V1D1-0525
9,GTEX-WQUQ-1425,GTEX-111YS-0425,GTEX-147F4-1225
10,GTEX-XQ3S-0625,GTEX-XGQ4-0325,GTEX-ZDTT-0725
11,GTEX-11DXY-0825,GTEX-1KD5A-1025,GTEX-15DDE-1125
12,GTEX-12ZZZ-1725,GTEX-NFK9-0925,GTEX-131XE-0625
13,GTEX-13112-0425,GTEX-ZYW4-0925,GTEX-1AYCT-0425
14,GTEX-148VI-0325,GTEX-12696-1125,GTEX-1HSMO-1225
15,GTEX-1497J-1225,GTEX-NPJ8-0425,GTEX-13O21-2325
16,GTEX-14JIY-1125,GTEX-1I1GQ-1425,GTEX-1KXAM-1325
17,GTEX-14XAO-1125,GTEX-139YR-0825,GTEX-1JJE9-1425
18,GTEX-15CHR-0225,GTEX-1CB4G-0825,GTEX-13OW6-1125
19,GTEX-15RIE-1725,GTEX-WYJK-1025,GTEX-1EX96-2525
20,GTEX-15RJ7-0225,GTEX-13OVG-0525,GTEX-1339X-0425
21,GTEX-1HC8U-0725,GTEX-O5YV-0325,GTEX-WHWD-0425
22,GTEX-1O97I-0825,GTEX-QESD-0525,GTEX-111FC-0825
23,GTEX-P44G-0825,GTEX-ZDTS-1325,GTEX-16XZY-0425
