,train,val,test
0,GTEX-O5YU-0725,GTEX-UTHO-2925,GTEX-QVUS-0425
1,GTEX-15SZO-1225,GTEX-UTHO-1225,GTEX-QVUS-2025
2,GTEX-QMR6-1425,GTEX-UTHO-1825,GTEX-QVUS-2825
3,GTEX-QMR6-1925,GTEX-UTHO-0725,GTEX-QVUS-0225
4,GTEX-QMR6-1325,GTEX-UTHO-3125,GTEX-QVUS-2925
5,GTEX-S3LF-1125,GTEX-UTHO-1025,GTEX-QVUS-0625
6,GTEX-T8EM-0325,GTEX-UTHO-2725,GTEX-11UD1-0125
7,GTEX-XMD3-2325,GTEX-UTHO-3025,GTEX-11UD1-0325
8,GTEX-1NV8Z-2925,GTEX-UTHO-0425,GTEX-11UD1-0225
9,GTEX-1NV8Z-3025,GTEX-UTHO-2425,GTEX-1J8Q2-1025
10,GTEX-1NV8Z-3125,GTEX-WVJS-0225,GTEX-1J8Q2-3025
11,GTEX-1NV8Z-1425,GTEX-WVJS-0125,GTEX-1J8Q2-0525
12,GTEX-1NV8Z-2825,GTEX-WVJS-0825,GTEX-1J8Q2-2625
13,GTEX-1NV8Z-1525,GTEX-WVJS-2425,GTEX-1J8Q2-1225
14,GTEX-1NV8Z-2225,GTEX-14LZ3-0625,GTEX-1J8Q2-2725
15,GTEX-1NV8Z-1625,GTEX-14LZ3-3125,GTEX-1J8Q2-0125
16,GTEX-1NV8Z-2025,GTEX-14LZ3-0725,GTEX-1J8Q2-2225
17,GTEX-13FTZ-2225,GTEX-14LZ3-0225,GTEX-1MCQQ-0825
18,GTEX-13FTZ-0125,GTEX-14LZ3-3025,GTEX-1MCQQ-2225
19,GTEX-13FTZ-0225,GTEX-14LZ3-0125,GTEX-1MCQQ-2425
20,GTEX-13FTZ-0325,GTEX-QMRM-1725,GTEX-1MCQQ-0625
21,GTEX-13FTZ-0525,GTEX-QMRM-1125,GTEX-1MCQQ-1025
22,GTEX-13FTZ-0725,GTEX-QMRM-0625,GTEX-1MCQQ-1425
23,GTEX-1445S-1225,GTEX-QMRM-0825,GTEX-1MCQQ-2325
24,GTEX-1445S-1125,GTEX-QMRM-0325,GTEX-13OW5-0325
25,GTEX-1445S-3225,GTEX-QMRM-1625,GTEX-13OW5-2525
26,GTEX-1445S-3025,GTEX-QMRM-0925,GTEX-13OW5-2325
27,GTEX-1445S-2425,GTEX-QMRM-1225,GTEX-13OW5-0825
28,GTEX-1445S-0625,GTEX-QMRM-0525,GTEX-13OW5-0925
29,GTEX-1445S-2925,GTEX-QMRM-0425,GTEX-13OW5-2625
30,GTEX-U3ZG-0325,GTEX-QMRM-0225,GTEX-13OW5-1125
31,GTEX-WWTW-0625,GTEX-QMRM-1425,GTEX-13OW5-2925
32,GTEX-WWTW-1325,GTEX-QMRM-1525,GTEX-13OW5-0625
33,GTEX-14E6D-0125,GTEX-QMRM-0125,GTEX-13OW5-0725
