gene_id gene_desc
ENSG00000268903.1 RP11-34P13.15
ENSG00000269981.1 RP11-34P13.16
ENSG00000225972.1 MTND1P23
ENSG00000225630.1 MTND2P28
ENSG00000237973.1 MTCO1P12
ENSG00000229344.1 MTCO2P12
ENSG00000240409.1 MTATP8P1
ENSG00000248527.1 MTATP6P1
ENSG00000198744.5 MTCO3P12
ENSG00000188976.10 NOC2L
ENSG00000188290.10 HES4
ENSG00000187608.8 ISG15
ENSG00000188157.14 AGRN
ENSG00000272141.1 RP11-465B22.8
ENSG00000078808.16 SDF4
ENSG00000176022.4 B3GALT6
ENSG00000160087.20 UBE2J2
ENSG00000131584.18 ACAP3
ENSG00000169972.11 PUSL1
ENSG00000127054.20 INTS11
ENSG00000240731.1 RP5-890O3.9
ENSG00000224051.6 CPTP
ENSG00000107404.19 DVL1
ENSG00000162576.16 MXRA8
ENSG00000175756.13 AURKAIP1
ENSG00000221978.11 CCNL2
ENSG00000224870.6 RP4-758J18.2
ENSG00000242485.5 MRPL20
ENSG00000235098.8 ANKRD65
ENSG00000179403.11 VWA1
ENSG00000160072.19 ATAD3B
ENSG00000197785.13 ATAD3A
ENSG00000160075.11 SSU72
ENSG00000197530.12 MIB2
ENSG00000248333.8 CDK11B
ENSG00000189339.11 SLC35E2B
ENSG00000008128.22 CDK11A
ENSG00000008130.15 NADK
ENSG00000078369.17 GNB1
ENSG00000178821.12 TMEM52
ENSG00000157933.9 SKI
ENSG00000157916.19 RER1
ENSG00000157911.9 PEX10
ENSG00000149527.17 PLCH2
ENSG00000157873.17 TNFRSF14
ENSG00000157870.14 FAM213B
ENSG00000177133.10 LINC00982
ENSG00000130762.14 ARHGEF16
ENSG00000158109.14 TPRG1L
ENSG00000116213.15 WRAP73
ENSG00000227372.11 TP73-AS1
ENSG00000130764.9 LRRC47
ENSG00000198912.10 C1orf174
ENSG00000116251.9 RPL22
ENSG00000158286.12 RNF207
ENSG00000116237.15 ICMT
ENSG00000204859.12 ZBTB48
ENSG00000162413.16 KLHL21
