gene_id gene_desc
ENSG00000225972.1 MTND1P23
ENSG00000225630.1 MTND2P28
ENSG00000237973.1 MTCO1P12
ENSG00000229344.1 MTCO2P12
ENSG00000240409.1 MTATP8P1
ENSG00000248527.1 MTATP6P1
ENSG00000198744.5 MTCO3P12
ENSG00000228794.8 LINC01128
ENSG00000188976.10 NOC2L
ENSG00000187642.9 PERM1
ENSG00000188290.10 HES4
ENSG00000187608.8 ISG15
ENSG00000078808.16 SDF4
ENSG00000176022.4 B3GALT6
ENSG00000160087.20 UBE2J2
ENSG00000131584.18 ACAP3
ENSG00000169972.11 PUSL1
ENSG00000127054.20 INTS11
ENSG00000240731.1 RP5-890O3.9
ENSG00000224051.6 CPTP
ENSG00000107404.19 DVL1
ENSG00000162576.16 MXRA8
ENSG00000175756.13 AURKAIP1
ENSG00000221978.11 CCNL2
ENSG00000224870.6 RP4-758J18.2
ENSG00000242485.5 MRPL20
ENSG00000160072.19 ATAD3B
ENSG00000197785.13 ATAD3A
ENSG00000160075.11 SSU72
ENSG00000272106.1 RP11-345P4.9
ENSG00000197530.12 MIB2
ENSG00000248333.8 CDK11B
ENSG00000189339.11 SLC35E2B
ENSG00000008128.22 CDK11A
ENSG00000008130.15 NADK
ENSG00000078369.17 GNB1
ENSG00000169885.9 CALML6
ENSG00000178821.12 TMEM52
ENSG00000157933.9 SKI
ENSG00000157916.19 RER1
ENSG00000157911.9 PEX10
ENSG00000157881.13 PANK4
ENSG00000157873.17 TNFRSF14
ENSG00000158109.14 TPRG1L
ENSG00000116213.15 WRAP73
ENSG00000227372.11 TP73-AS1
ENSG00000130764.9 LRRC47
ENSG00000116198.12 CEP104
ENSG00000198912.10 C1orf174
ENSG00000069424.14 KCNAB2
ENSG00000116251.9 RPL22
ENSG00000116237.15 ICMT
ENSG00000162408.10 NOL9
ENSG00000204859.12 ZBTB48
ENSG00000162413.16 KLHL21
ENSG00000116273.5 PHF13
ENSG00000041988.15 THAP3
ENSG00000007923.15 DNAJC11
ENSG00000049245.12 VAMP3
ENSG00000049246.14 PER3
ENSG00000116288.12 PARK7
ENSG00000116285.12 ERRFI1
ENSG00000142599.17 RERE
ENSG00000074800.13 ENO1
ENSG00000142583.17 SLC2A5
ENSG00000180758.11 GPR157
ENSG00000049239.12 H6PD
ENSG00000171621.13 SPSB1
ENSG00000235263.1 RP13-392I16.1
ENSG00000171612.6 SLC25A33
ENSG00000188807.12 TMEM201
ENSG00000171603.16 CLSTN1
ENSG00000178585.14 CTNNBIP1
ENSG00000162441.11 LZIC
ENSG00000173614.13 NMNAT1
ENSG00000162444.11 RBP7
ENSG00000130939.18 UBE4B
ENSG00000054523.17 KIF1B
ENSG00000142657.20 PGD
ENSG00000160049.11 DFFA
ENSG00000142655.12 PEX14
ENSG00000130940.14 CASZ1
ENSG00000175262.14 C1orf127
ENSG00000120948.16 TARDBP
ENSG00000271895.2 RP4-635E18.8
ENSG00000116649.9 SRM
ENSG00000171824.13 EXOSC10
ENSG00000198793.12 MTOR
ENSG00000171819.4 ANGPTL7
ENSG00000120942.13 UBIAD1
ENSG00000116661.9 FBXO2
ENSG00000116663.10 FBXO6
ENSG00000116670.14 MAD2L2
ENSG00000177674.15 AGTRAP
ENSG00000177000.10 MTHFR
ENSG00000011021.21 CLCN6
ENSG00000175206.10 NPPA
ENSG00000116685.15 KIAA2013
ENSG00000083444.16 PLOD1
ENSG00000116688.16 MFN2
ENSG00000116691.10 MIIP
ENSG00000028137.18 TNFRSF1B
ENSG00000048707.13 VPS13D
ENSG00000162496.8 DHRS3
ENSG00000162494.5 LRRC38
ENSG00000162493.16 PDPN
ENSG00000116731.22 PRDM2
ENSG00000142634.12 EFHD2
ENSG00000116771.5 AGMAT
ENSG00000197312.11 DDI2
ENSG00000116786.11 PLEKHM2
ENSG00000162461.7 SLC25A34
ENSG00000233954.6 UQCRHL
ENSG00000179743.4 FLJ37453
ENSG00000065526.10 SPEN
ENSG00000116809.11 ZBTB17
ENSG00000173641.17 HSPB7
ENSG00000233929.1 MT1XP1
ENSG00000037637.10 FBXO42
ENSG00000055070.16 SZRD1
ENSG00000157191.19 NECAP2
ENSG00000215908.10 CROCCP2
ENSG00000159363.17 ATP13A2
ENSG00000117118.9 SDHB
ENSG00000117115.12 PADI2
ENSG00000179051.13 RCC2
ENSG00000074964.16 ARHGEF10L
ENSG00000159423.16 ALDH4A1
ENSG00000169991.10 IFFO2
ENSG00000127481.14 UBR4
ENSG00000127463.13 EMC1
ENSG00000053372.4 MRTO4
ENSG00000053371.12 AKR7A2
ENSG00000040487.12 PQLC2
ENSG00000077549.17 CAPZB
ENSG00000173436.13 MINOS1
ENSG00000158747.13 NBL1
ENSG00000188257.10 PLA2G2A
ENSG00000090432.6 MUL1
ENSG00000158828.7 PINK1
ENSG00000244038.9 DDOST
ENSG00000127483.17 HP1BP3
ENSG00000075151.20 EIF4G3
ENSG00000117298.14 ECE1
ENSG00000090686.15 USP48
ENSG00000142798.17 HSPG2
ENSG00000218510.6 LINC00339
ENSG00000070831.15 CDC42
ENSG00000184677.16 ZBTB40
ENSG00000173372.16 C1QA
ENSG00000159189.11 C1QC
ENSG00000173369.15 C1QB
ENSG00000004487.15 KDM1A
ENSG00000125944.18 HNRNPR
ENSG00000204219.9 TCEA3
ENSG00000088280.18 ASAP3
ENSG00000117318.8 ID3
ENSG00000142676.12 RPL11
ENSG00000011007.12 ELOA
ENSG00000057757.9 PITHD1
ENSG00000011009.10 LYPLA2
ENSG00000117305.14 HMGCL
ENSG00000179163.11 FUCA1
ENSG00000189266.11 PNRC2
ENSG00000188529.14 SRSF10
ENSG00000142661.18 MYOM3
ENSG00000133226.16 SRRM1
ENSG00000169504.14 CLIC4
ENSG00000117614.9 SYF2
ENSG00000117616.17 RSRP1
ENSG00000183726.10 TMEM50A
ENSG00000204178.9 TMEM57
ENSG00000157978.11 LDLRAP1
ENSG00000162430.16 SELENON
ENSG00000117640.17 MTFR1L
ENSG00000158006.13 PAFAH2
ENSG00000158008.9 EXTL1
ENSG00000158022.6 TRIM63
ENSG00000142675.17 CNKSR1
ENSG00000130695.14 CEP85
ENSG00000142669.14 SH3BGRL3
